기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 전국
기간 : 20190701~20200630

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-08-24,전국,22.8,18.9,27.6
2019-08-25,전국,23.2,18.9,28.7
2019-08-26,전국,24.3,19,30
2019-08-27,전국,22.7,20.5,25.4
2019-08-28,전국,23.8,21,27.7
2019-08-29,전국,22.4,19.9,25.7
2019-08-30,전국,22.9,18.6,28.1
2019-08-31,전국,22.6,17.6,28.5
2019-09-01,전국,22.1,18,26.8
2019-09-02,전국,21.6,19.1,25.1
2019-09-03,전국,22.1,20.1,24.8
2019-09-04,전국,23.4,21.4,26.2
2019-09-05,전국,24.2,21.8,29
2019-09-06,전국,25.4,22.1,28.9
2019-09-07,전국,25.8,22.6,29.1
2019-09-08,전국,24.6,21.8,28.5
2019-09-09,전국,24.7,22.4,28.3
2019-09-10,전국,25.4,22.5,29.6
2019-09-11,전국,23.9,21.5,27.8
2019-09-12,전국,20.8,18.6,23.5
2019-09-13,전국,21.7,17.1,27.4
2019-09-14,전국,22.3,17.4,27.5
2019-09-15,전국,23.4,19.7,28.8
2019-09-16,전국,22.4,18.1,28.2
2019-09-17,전국,21.3,15.5,27.8
2019-09-18,전국,21,15.4,27.9
2019-09-19,전국,19.2,13.5,25.6
2019-09-20,전국,19.3,15,23.7
2019-09-21,전국,17.8,16,20.7
2019-09-22,전국,17.5,16.1,19.1
2019-09-23,전국,18.1,14.4,22.5
2019-09-24,전국,17.8,12.6,25
2019-09-25,전국,18.4,12.6,24.8
2019-09-26,전국,20.4,16,26.2
2019-09-27,전국,21.4,16.8,26.9
2019-09-28,전국,22.5,19.3,27.4
2019-09-29,전국,22.2,18,28.5
2019-09-30,전국,21.6,16.4,28.2
2019-10-01,전국,21.5,18.4,24.9
2019-10-02,전국,21.1,19.8,22.9
2019-10-03,전국,22,18.7,26.3
2019-10-04,전국,21.2,17.1,26.9
2019-10-05,전국,18.9,15.5,22.6
2019-10-06,전국,17.3,13.4,21.8
2019-10-07,전국,15.5,13.8,17.7
2019-10-08,전국,15.9,10.3,22
2019-10-09,전국,13.3,6.8,21.2
2019-10-10,전국,14.9,8.6,21.6
2019-10-11,전국,17.9,11.9,24.8
2019-10-12,전국,18,13.5,23.4
2019-10-13,전국,15.9,10.6,22.3
2019-10-14,전국,14.7,9.3,21.3
2019-10-15,전국,13.3,8.5,18.8
2019-10-16,전국,13.3,8.1,20.4
2019-10-17,전국,14,9.5,19.9
2019-10-18,전국,15.3,11,19.5
2019-10-19,전국,16.2,11.6,22.6
2019-10-20,전국,15.1,10.4,22.6
2019-10-21,전국,15.3,9.5,23
2019-10-22,전국,15.9,10.3,22.9
2019-10-23,전국,16,12.1,20
2019-10-24,전국,17.4,13.6,22.1
2019-10-25,전국,16.9,12,22.7
2019-10-26,전국,12.8,8.9,17
2019-10-27,전국,10.7,5.4,17.4
2019-10-28,전국,11.5,4.5,18.5
2019-10-29,전국,13.2,8,18.8
2019-10-30,전국,11.3,5.7,18.3
2019-10-31,전국,13.3,6.1,20.7
2019-11-01,전국,14.3,9,21.8
2019-11-02,전국,13.5,7.7,19.9
2019-11-03,전국,13.8,9.4,20.5
2019-11-04,전국,12.5,7.6,18.9
2019-11-05,전국,11.7,6,19.1
2019-11-06,전국,11.3,5.5,18.6
2019-11-07,전국,10.8,5.7,16.9
2019-11-08,전국,7.8,2.3,15.3
2019-11-09,전국,8.5,1.6,17.3
2019-11-10,전국,9.4,3,15.8
2019-11-11,전국,12.1,7.8,16.9
2019-11-12,전국,9.7,4.8,16.6
2019-11-13,전국,8.9,3.7,13.9
2019-11-14,전국,3.7,-0.7,8.6
2019-11-15,전국,7.2,-1,14
2019-11-16,전국,10.3,5.1,17.1
2019-11-17,전국,11,6.1,15.4
2019-11-18,전국,8.7,3.4,16.4
2019-11-19,전국,3.7,0.6,7
2019-11-20,전국,2.6,-2.1,8.9
2019-11-21,전국,5,-2.6,12.2
2019-11-22,전국,9.3,2.8,17.3
2019-11-23,전국,10.8,4.7,18.2
2019-11-24,전국,12.8,7.4,19.6
2019-11-25,전국,5.9,3.3,10.6
2019-11-26,전국,7.7,2.6,13.5
2019-11-27,전국,6.2,2.6,9.7
2019-11-28,전국,4.7,0.3,10.4
2019-11-29,전국,3.4,-1.2,9.9
2019-11-30,전국,5.4,-1.5,12.7
2019-12-01,전국,6.3,4.7,8.1
2019-12-02,전국,3.6,0.2,6.8
2019-12-03,전국,2.4,-2.7,6.8
2019-12-04,전국,4.2,-0.3,9.5
2019-12-05,전국,0.2,-4.4,4.8
2019-12-06,전국,-3.2,-7.7,2.3
2019-12-07,전국,0.1,-6.5,6.1
2019-12-08,전국,1.4,-3.3,8
2019-12-09,전국,3,-3.6,10.1
2019-12-10,전국,6.5,1.5,13.4
2019-12-11,전국,6.9,1.8,13.3
2019-12-12,전국,1.7,-2.4,6.1
2019-12-13,전국,1.6,-4.6,8.1
2019-12-14,전국,4,-0.1,9
2019-12-15,전국,4.7,-1.5,12.4
2019-12-16,전국,7.1,1,14.1
2019-12-17,전국,8.3,3.9,12.5
2019-12-18,전국,4.6,1.8,8.5
2019-12-19,전국,2.2,-1.3,6.8
2019-12-20,전국,1,-3,5.4
2019-12-21,전국,0.2,-4.1,4.7
2019-12-22,전국,3,-1.1,9
2019-12-23,전국,3.8,-1,8.7
2019-12-24,전국,2.1,-2,9
2019-12-25,전국,3.5,-3.2,10.9
2019-12-26,전국,3.7,1.4,6.1
2019-12-27,전국,0.6,-3.2,5.1
2019-12-28,전국,0.5,-4.9,7.5
2019-12-29,전국,2.6,-2.4,6.6
2019-12-30,전국,5,0.1,9.8
2019-12-31,전국,-3.8,-6.7,0.4
2020-01-01,전국,-0.9,-6.5,4.1
2020-01-02,전국,1.6,-2.6,6.4
2020-01-03,전국,2.1,-2,7.7
2020-01-04,전국,1.6,-3.4,8
2020-01-05,전국,1.5,-4.5,8.8
2020-01-06,전국,3.5,-0.4,5.8
2020-01-07,전국,8.8,4.9,13.5
2020-01-08,전국,5.4,3.2,11.5
2020-01-09,전국,1.9,-1.2,5.4
2020-01-10,전국,1,-3.6,7.5
2020-01-11,전국,1.9,-2.4,7
2020-01-12,전국,1.7,-0.6,5.1
2020-01-13,전국,0.4,-2.7,4
2020-01-14,전국,-0.2,-3.7,4.7
2020-01-15,전국,-0.8,-4.9,4.4
2020-01-16,전국,-0.3,-4.7,5.8
2020-01-17,전국,0.8,-3.2,6.9
2020-01-18,전국,1.4,-3.2,7.4
2020-01-19,전국,2.3,-2.3,7.2
2020-01-20,전국,2.6,-1.3,7.1
2020-01-21,전국,0.6,-4.8,7
2020-01-22,전국,3.2,0,5.9
2020-01-23,전국,5.4,1.9,10.3
2020-01-24,전국,4.5,-0.2,10.6
2020-01-25,전국,5,1.5,9.3
2020-01-26,전국,6.1,0.8,10.8
2020-01-27,전국,5.9,4.2,8
2020-01-28,전국,6.6,3.4,10.4
2020-01-29,전국,5.7,2.7,9.7
2020-01-30,전국,4.6,1.2,9.2
2020-01-31,전국,3.2,-0.3,8
2020-02-01,전국,2.6,-2.3,8.1
2020-02-02,전국,2.5,-2.1,8.1
2020-02-03,전국,1.6,-2.4,5.9
2020-02-04,전국,0.5,-5.6,6.6
2020-02-05,전국,-3.3,-6.9,1.2
2020-02-06,전국,-3.9,-9.6,2.2
2020-02-07,전국,-0.2,-6.3,5.5
2020-02-08,전국,1.6,-2.1,6
2020-02-09,전국,0.5,-5.4,6.4
2020-02-10,전국,4.1,-1.5,11.1
2020-02-11,전국,5.7,-2.7,13.6
2020-02-12,전국,7.8,5.3,10.2
2020-02-13,전국,8.3,3.9,12.7
2020-02-14,전국,8,3.2,15.9
2020-02-15,전국,9.6,3.5,16
2020-02-16,전국,2,-1.8,8.3
2020-02-17,전국,-2.8,-4.9,-0.3
2020-02-18,전국,-1.4,-6.4,4.2
2020-02-19,전국,2.4,-4.1,9.4
2020-02-20,전국,5,-0.9,12.4
2020-02-21,전국,7.1,-0.4,14.2
2020-02-22,전국,6.4,2.1,10.2
2020-02-23,전국,3.5,-1.7,9.7
2020-02-24,전국,7.2,-1.3,15
2020-02-25,전국,7.5,5.7,10
2020-02-26,전국,7,3.1,11.9
2020-02-27,전국,5.3,1.2,10.4
2020-02-28,전국,4.5,1.7,6.8
2020-02-29,전국,6.7,2.7,12.1
2020-03-01,전국,6.9,2.2,11.8
2020-03-02,전국,5.2,1.7,9.7
2020-03-03,전국,6.1,0.1,12
2020-03-04,전국,4.3,0.4,8.6
2020-03-05,전국,2.4,-2.2,8.4
2020-03-06,전국,3.9,-4,12
2020-03-07,전국,5.4,0.7,10.5
2020-03-08,전국,7.6,0.6,16.1
2020-03-09,전국,8.8,1.6,14.8
2020-03-10,전국,7.5,4.5,10
2020-03-11,전국,4.9,0.6,9.7
2020-03-12,전국,6.8,-1.5,14.9
2020-03-13,전국,7.1,1.6,13.1
2020-03-14,전국,5.1,-1,10.3
2020-03-15,전국,5.4,0.5,11.3
2020-03-16,전국,4.5,-1.7,10.5
2020-03-17,전국,7.6,0.8,14
2020-03-18,전국,9.8,1.8,18
2020-03-19,전국,9.7,4.7,15.9
2020-03-20,전국,9.5,3.1,15.7
2020-03-21,전국,13.2,4.7,21.3
2020-03-22,전국,12.3,6.4,18.6
2020-03-23,전국,9.9,2.3,17.3
2020-03-24,전국,9.5,2.3,17.3
2020-03-25,전국,11.7,2.8,19.6
2020-03-26,전국,13.3,8,18.2
2020-03-27,전국,11.4,6.4,16.3
2020-03-28,전국,7.2,3.5,11.4
2020-03-29,전국,7.7,0.4,14.6
2020-03-30,전국,10,4.2,16.9
2020-03-31,전국,11.1,2.9,18.9
2020-04-01,전국,10.8,5.7,17.4
2020-04-02,전국,9.6,2.3,16.9
2020-04-03,전국,10.8,3.3,18.2
2020-04-04,전국,9.2,3.3,16.3
2020-04-05,전국,7.2,0.3,14.2
2020-04-06,전국,9.2,0.2,16.9
2020-04-07,전국,11.8,4.6,18.9
2020-04-08,전국,9.9,4.3,16
2020-04-09,전국,8.9,1.7,15.6
2020-04-10,전국,9.7,5.1,14.6
2020-04-11,전국,8.8,4.2,13.6
2020-04-12,전국,8.3,3.7,13.6
2020-04-13,전국,9.5,3.8,16.3
2020-04-14,전국,12.1,2.4,21.2
2020-04-15,전국,12.3,4.8,20.5
2020-04-16,전국,13.2,5.6,20.2
2020-04-17,전국,11.7,8.9,15.4
2020-04-18,전국,12.3,8,18.1
2020-04-19,전국,10.8,7.9,14.4
2020-04-20,전국,11.5,8.1,16.4
2020-04-21,전국,9.2,5.2,14.1
2020-04-22,전국,7.5,4.2,11.8
2020-04-23,전국,8.7,3.4,14.5
2020-04-24,전국,10.3,3.1,16.3
2020-04-25,전국,14.1,6,21.2
2020-04-26,전국,12.2,5.9,18.4
2020-04-27,전국,11.5,4.8,18.1
2020-04-28,전국,13.2,4.5,20.5
2020-04-29,전국,15,7.3,22.9
2020-04-30,전국,17.2,7.4,24.6
2020-05-01,전국,21.1,14.9,27.5
2020-05-02,전국,20.7,16.9,25.4
2020-05-03,전국,18.4,15.8,21.8
2020-05-04,전국,19.1,13.5,26.2
2020-05-05,전국,15.4,12,19.6
2020-05-06,전국,17.8,11.4,25.6
2020-05-07,전국,17.1,10.4,23.6
2020-05-08,전국,17.2,9.5,23.6
2020-05-09,전국,15.8,13.5,18.3
2020-05-10,전국,15.9,13.1,19.7
2020-05-11,전국,18.3,12.5,24.6
2020-05-12,전국,16.6,11.9,21.9
2020-05-13,전국,16.3,9,23
2020-05-14,전국,18.9,10.9,26.1
2020-05-15,전국,16.1,14.5,19.2
2020-05-16,전국,17.4,14.5,21.7
2020-05-17,전국,19.3,15.1,25.2
2020-05-18,전국,18.1,14.1,23.2
2020-05-19,전국,13.7,10.8,17.3
2020-05-20,전국,13.9,8.9,19.6
2020-05-21,전국,15.6,9.7,21.3
2020-05-22,전국,16.9,12.6,22.2
2020-05-23,전국,18.3,12.7,24.2
2020-05-24,전국,18.6,14.1,23.6
2020-05-25,전국,17.8,14,22.4
2020-05-26,전국,18.4,14.2,24.5
2020-05-27,전국,18.5,13.4,24.5
2020-05-28,전국,18.3,12,24.9
2020-05-29,전국,19.4,12.8,26.3
2020-05-30,전국,20.4,14.1,26.8
2020-05-31,전국,20.1,14.7,25.3
2020-06-01,전국,20.8,15.8,26
2020-06-02,전국,19.5,13.4,25.4
2020-06-03,전국,22,16.9,27.5
2020-06-04,전국,24,18.8,29.9
2020-06-05,전국,23.1,18.6,29.3
2020-06-06,전국,21.9,17.6,27.7
2020-06-07,전국,22,17.1,28.1
2020-06-08,전국,24.1,17.1,31.4
2020-06-09,전국,25.6,18.3,32.9
2020-06-10,전국,25,19.8,32.1
2020-06-11,전국,24.5,20.8,29.9
2020-06-12,전국,23.3,20.3,27.6
2020-06-13,전국,24,20,28.8
2020-06-14,전국,23.9,20.8,28.2
2020-06-15,전국,23.3,18.1,28.8
2020-06-16,전국,23,17.7,28.9
2020-06-17,전국,22.1,17.3,27.1
2020-06-18,전국,19.9,17.8,22.4
2020-06-19,전국,21.9,17.9,27.4
2020-06-20,전국,22.4,18.3,27.5
2020-06-21,전국,23.1,18.2,29.1
2020-06-22,전국,24.1,17.5,31.1
2020-06-23,전국,24.4,18.8,30.3
2020-06-24,전국,22,20.2,24.6
2020-06-25,전국,21.6,19.8,23.8
2020-06-26,전국,22.9,19.4,27.6
2020-06-27,전국,23.6,19.4,29.1
2020-06-28,전국,23.8,19.3,29.2
2020-06-29,전국,21.6,18.7,25.5
2020-06-30,전국,20.8,18.5,23.8

